actor_nconst,title_tconst
nm0723157,tt0054599
nm0365173,tt0054614
nm0592756,tt0054709
nm0647429,tt0054780
nm0468525,tt0054780
nm0687451,tt0054803
nm0634659,tt0054845
nm0033171,tt0055052
nm0031755,tt0055093
nm0033171,tt0055233
nm0442955,tt0055233
nm0047962,tt0055269
nm0013790,tt0055399
nm0070882,tt0055399
nm0162030,tt0055399
nm5381515,tt0055440
nm0837420,tt0055440
nm0878240,tt0055506
nm5574053,tt0055508
nm0083424,tt0055597
nm0130952,tt0055601
nm0442951,tt0055630
nm0846187,tt0055630
nm0385010,tt0055830
nm0074367,tt0055830
nm0545400,tt0055852
nm0592756,tt0056058
nm0368049,tt0056058
nm0408343,tt0056058
nm1372205,tt0056058
nm0342458,tt0056111
nm0605195,tt0056215
nm0631102,tt0056291
nm0407411,tt0056327
nm0462013,tt0056443
nm0199029,tt0056443
nm0793766,tt0056443
nm0412615,tt0056444
nm0822275,tt0056512
nm0457219,tt0056562
nm0493347,tt0057590
nm0436012,tt0057611
nm0945435,tt0057632
nm0410751,tt0057643
nm0538567,tt0057710
nm0462007,tt0057715
nm0223353,tt0057935
nm0001321,tt0058003
nm0757138,tt0058150
nm0349899,tt0058182
nm0111003,tt0058259
nm0167520,tt0058259
nm0239447,tt0058533
nm0000404,tt0058533
nm0443581,tt0058557
nm0818025,tt0058557
nm0416528,tt0058557
nm0409820,tt0058715
nm0476675,tt0058888
nm0069934,tt0058946
nm0065777,tt0059012
nm0434553,tt0059159
nm0408026,tt0059303
nm0611538,tt0059348
nm0805908,tt0059527
nm1062360,tt0059581
nm0144589,tt0059619
nm0166706,tt0059619
nm0593192,tt0059653
nm0767567,tt0059884
nm0945522,tt0059919
nm0038377,tt0060082
nm0945562,tt0060082
nm0654835,tt0060082
nm0125909,tt0060107
nm0681566,tt0060263
nm0699694,tt0060597
nm0630636,tt0060597
nm0101564,tt0060758
nm0814162,tt0060802
nm0008751,tt0161292
nm0644948,tt0164982
nm0676201,tt0164982
nm0618565,tt0164982
nm2486493,tt0164982
nm0441526,tt0164983
